Freq.	V(vout)
1.90546071796323e+002	(-1.86129722479224e+001dB,8.76088727002064e+001°)
1.94984459975803e+002	(-1.84148011163787e+001dB,8.73355742131055e+001°)
1.99526231496887e+002	(-1.82168380586312e+001dB,8.70609869701544e+001°)
2.04173794466952e+002	(-1.80190870990598e+001dB,8.67849799977555e+001°)
2.08929613085403e+002	(-1.78215526743795e+001dB,8.65074221888600e+001°)
2.13796208950222e+002	(-1.76242396404329e+001dB,8.62281823002906e+001°)
2.18776162394954e+002	(-1.74271532795003e+001dB,8.59471289526565e+001°)
2.23872113856832e+002	(-1.72302993081975e+001dB,8.56641306331335e+001°)
2.29086765276776e+002	(-1.70336838859485e+001dB,8.53790557013541e+001°)
2.34422881531991e+002	(-1.68373136239993e+001dB,8.50917723987067e+001°)
2.39883291901947e+002	(-1.66411955949829e+001dB,8.48021488612672e+001°)
2.45470891568501e+002	(-1.64453373430150e+001dB,8.45100531367113e+001°)
2.51188643150956e+002	(-1.62497468943011e+001dB,8.42153532054390e+001°)
2.57039578276885e+002	(-1.60544327682680e+001dB,8.39179170062826e+001°)
2.63026799189536e+002	(-1.58594039891730e+001dB,8.36176124670482e+001°)
2.69153480392690e+002	(-1.56646700981844e+001dB,8.33143075402568e+001°)
2.75422870333815e+002	(-1.54702411658986e+001dB,8.30078702443907e+001°)
2.81838293126443e+002	(-1.52761278052969e+001dB,8.26981687110084e+001°)
2.88403150312659e+002	(-1.50823411850892e+001dB,8.23850712380534e+001°)
2.95120922666637e+002	(-1.48888930434039e+001dB,8.20684463497297e+001°)
3.01995172040200e+002	(-1.46957957018495e+001dB,8.17481628633051e+001°)
3.09029543251357e+002	(-1.45030620798002e+001dB,8.14240899632157e+001°)
3.16227766016836e+002	(-1.43107057089631e+001dB,8.10960972828303e+001°)
3.23593656929626e+002	(-1.41187407481604e+001dB,8.07640549942853e+001°)
3.31131121482589e+002	(-1.39271819981974e+001dB,8.04278339067370e+001°)
3.38844156139200e+002	(-1.37360449168716e+001dB,8.00873055734607e+001°)
3.46736850452529e+002	(-1.35453456339581e+001dB,7.97423424081271e+001°)
3.54813389233573e+002	(-1.33551009661561e+001dB,7.93928178106619e+001°)
3.63078054770099e+002	(-1.31653284319050e+001dB,7.90386063030628e+001°)
3.71535229097170e+002	(-1.29760462660103e+001dB,7.86795836755416e+001°)
3.80189396320558e+002	(-1.27872734339265e+001dB,7.83156271432934e+001°)
3.89045144994278e+002	(-1.25990296456559e+001dB,7.79466155143057e+001°)
3.98107170553494e+002	(-1.24113353691430e+001dB,7.75724293684265e+001°)
4.07380277804110e+002	(-1.22242118430476e+001dB,7.71929512480561e+001°)
4.16869383470332e+002	(-1.20376810887602e+001dB,7.68080658606684e+001°)
4.26579518801589e+002	(-1.18517659215463e+001dB,7.64176602933977e+001°)
4.36515832240163e+002	(-1.16664899607181e+001dB,7.60216242398699e+001°)
4.46683592150960e+002	(-1.14818776385758e+001dB,7.56198502393771e+001°)
4.57088189614872e+002	(-1.12979542080871e+001dB,7.52122339285098e+001°)
4.67735141287195e+002	(-1.11147457490918e+001dB,7.47986743052491e+001°)
4.78630092322635e+002	(-1.09322791728096e+001dB,7.43790740053791e+001°)
4.89778819368443e+002	(-1.07505822245958e+001dB,7.39533395912194e+001°)
5.01187233627268e+002	(-1.05696834846093e+001dB,7.35213818523330e+001°)
5.12861383991361e+002	(-1.03896123663312e+001dB,7.30831161179212e+001°)
5.24807460249769e+002	(-1.02103991126461e+001dB,7.26384625805261e+001°)
5.37031796370249e+002	(-1.00320747893684e+001dB,7.21873466304350e+001°)
5.49540873857620e+002	(-9.85467127589109e+000dB,7.17296992002037e+001°)
5.62341325190345e+002	(-9.67822125288159e+000dB,7.12654571184005e+001°)
5.75439937337152e+002	(-9.50275818670185e+000dB,7.07945634718068e+001°)
5.88843655355584e+002	(-9.32831631043869e+000dB,7.03169679748615e+001°)
6.02559586074353e+002	(-9.15493060127043e+000dB,6.98326273452065e+001°)
6.16595001861477e+002	(-8.98263675399805e+000dB,6.93415056839201e+001°)
6.30957344480188e+002	(-8.81147115055823e+000dB,6.88435748589725e+001°)
6.45654229034650e+002	(-8.64147082531081e+000dB,6.83388148900705e+001°)
6.60693448007591e+002	(-8.47267342597446e+000dB,6.78272143331728e+001°)
6.76082975391976e+002	(-8.30511717000502e+000dB,6.73087706624731e+001°)
6.91830970918931e+002	(-8.13884079631664e+000dB,6.67834906478334e+001°)
7.07945784384132e+002	(-7.97388351223305e+000dB,6.62513907251043e+001°)
7.24435960074984e+002	(-7.81028493554368e+000dB,6.57124973569195e+001°)
7.41310241300911e+002	(-7.64808503171820e+000dB,6.51668473813514e+001°)
7.58577575029177e+002	(-7.48732404606293e+000dB,6.46144883454157e+001°)
7.76247116628685e+002	(-7.32804243105163e+000dB,6.40554788207581e+001°)
7.94328234724275e+002	(-7.17028076867930e+000dB,6.34898886982993e+001°)
8.12830516164092e+002	(-7.01407968810565e+000dB,6.29177994588539e+001°)
8.31763771102664e+002	(-6.85947977860698e+000dB,6.23393044164968e+001°)
8.51138038202369e+002	(-6.70652149801996e+000dB,6.17545089315526e+001°)
8.70963589956073e+002	(-6.55524507705432e+000dB,6.11635305900503e+001°)
8.91250938133738e+002	(-6.40569041955085e+000dB,6.05664993463947e+001°)
9.12010839355902e+002	(-6.25789699919326e+000dB,5.99635576263759e+001°)
9.33254300796983e+002	(-6.11190375298430e+000dB,5.93548603874708e+001°)
9.54992586021428e+002	(-5.96774897196683e+000dB,5.87405751337025e+001°)
9.77237220955802e+002	(-5.82547018963786e+000dB,5.81208818824662e+001°)
9.99999999999991e+002	(-5.68510406867259e+000dB,5.74959730810595e+001°)
1.02329299228075e+003	(-5.54668628649803e+000dB,5.68660534708299e+001°)
1.04712854805089e+003	(-5.41025142034372e+000dB,5.62313398972891e+001°)
1.07151930523760e+003	(-5.27583283254591e+000dB,5.55920610647688e+001°)
1.09647819614318e+003	(-5.14346255667626e+000dB,5.49484572349120e+001°)
1.12201845430195e+003	(-5.01317118531301e+000dB,5.43007798682462e+001°)
1.14815362149687e+003	(-4.88498776024126e+000dB,5.36492912091108e+001°)
1.17489755493952e+003	(-4.75893966578097e+000dB,5.29942638142914e+001°)
1.20226443461740e+003	(-4.63505252606724e+000dB,5.23359800264061e+001°)
1.23026877081237e+003	(-4.51335010702237e+000dB,5.16747313936556e+001°)
1.25892541179416e+003	(-4.39385422382726e+000dB,5.10108180379575e+001°)
1.28824955169312e+003	(-4.27658465455144e+000dB,5.03445479741085e+001°)
1.31825673855640e+003	(-4.16155906070992e+000dB,4.96762363831452e+001°)
1.34896288259164e+003	(-4.04879291539259e+000dB,4.90062048434651e+001°)
1.38038426460287e+003	(-3.93829943952094e+000dB,4.83347805238522e+001°)
1.41253754462274e+003	(-3.83008954681549e+000dB,4.76622953429666e+001°)
1.44543977074591e+003	(-3.72417179799128e+000dB,4.69890851001031e+001°)
1.47910838816819e+003	(-3.62055236449634e+000dB,4.63154885826486e+001°)
1.51356124843619e+003	(-3.51923500217984e+000dB,4.56418466555686e+001°)
1.54881661891247e+003	(-3.42022103508064e+000dB,4.49685013388064e+001°)
1.58489319246110e+003	(-3.32350934954272e+000dB,4.42957948784414e+001°)
1.62181009735891e+003	(-3.22909639861586e+000dB,4.36240688175345e+001°)
1.65958690743754e+003	(-3.13697621678510e+000dB,4.29536630726535e+001°)
1.69824365246173e+003	(-3.04714044485924e+000dB,4.22849150220210e+001°)
1.73780082874936e+003	(-2.95957836479800e+000dB,4.16181586109703e+001°)
1.77827941003891e+003	(-2.87427694415966e+000dB,4.09537234802929e+001°)
1.81970085860997e+003	(-2.79122088979160e+000dB,4.02919341228388e+001°)
1.86208713666285e+003	(-2.71039271031359e+000dB,3.96331090731825e+001°)
1.90546071796323e+003	(-2.63177278678109e+000dB,3.89775601350917e+001°)
1.94984459975803e+003	(-2.55533945105906e+000dB,3.83255916509152e+001°)
1.99526231496886e+003	(-2.48106907105225e+000dB,3.76774998164172e+001°)
2.04173794466951e+003	(-2.40893614239973e+000dB,3.70335720445895e+001°)
2.08929613085402e+003	(-2.33891338553583e+000dB,3.63940863807530e+001°)
2.13796208950221e+003	(-2.27097184769500e+000dB,3.57593109714018e+001°)
2.18776162394953e+003	(-2.20508100885179e+000dB,3.51295035882446e+001°)
2.23872113856832e+003	(-2.14120889097475e+000dB,3.45049112085881e+001°)
2.29086765276775e+003	(-2.07932216971564e+000dB,3.38857696526130e+001°)
2.34422881531990e+003	(-2.01938628785324e+000dB,3.32723032776544e+001°)
2.39883291901947e+003	(-1.96136556969916e+000dB,3.26647247290090e+001°)
2.45470891568501e+003	(-1.90522333572810e+000dB,3.20632347465090e+001°)
2.51188643150955e+003	(-1.85092201687073e+000dB,3.14680220254207e+001°)
2.57039578276884e+003	(-1.79842326763491e+000dB,3.08792631302638e+001°)
2.63026799189535e+003	(-1.74768807766246e+000dB,3.02971224592945e+001°)
2.69153480392689e+003	(-1.69867688099214e+000dB,2.97217522575839e+001°)
2.75422870333814e+003	(-1.65134966263081e+000dB,2.91532926759926e+001°)
2.81838293126442e+003	(-1.60566606195566e+000dB,2.85918718734508e+001°)
2.88403150312658e+003	(-1.56158547251393e+000dB,2.80376061594571e+001°)
2.95120922666635e+003	(-1.51906713794215e+000dB,2.74906001739694e+001°)
3.01995172040198e+003	(-1.47807024360772e+000dB,2.69509471013256e+001°)
3.09029543251356e+003	(-1.43855400388054e+000dB,2.64187289152776e+001°)
3.16227766016835e+003	(-1.40047774466431e+000dB,2.58940166517701e+001°)
3.23593656929625e+003	(-1.36380098120857e+000dB,2.53768707063850e+001°)
3.31131121482588e+003	(-1.32848349095978e+000dB,2.48673411533956e+001°)
3.38844156139199e+003	(-1.29448538155258e+000dB,2.43654680832359e+001°)
3.46736850452528e+003	(-1.26176715373125e+000dB,2.38712819556955e+001°)
3.54813389233572e+003	(-1.23028975941802e+000dB,2.33848039657470e+001°)
3.63078054770097e+003	(-1.20001465482897e+000dB,2.29060464195466e+001°)
3.71535229097168e+003	(-1.17090384880605e+000dB,2.24350131179544e+001°)
