Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000002,-5.998067131896807,61.0405916926893
1063.326571637164,-5.607324749041005,59.47892443663971
1130.663397949641,-5.221472840205944,57.86520725266105
1202.264434617416,-4.854373092074982,56.23254349742984
1278.399719463026,-4.503859050038132,54.54286689661932
1359.356390878528,-4.162846833239431,52.81938188715667
1445.439770745931,-3.838336393156563,51.11407807479148
1536.974515935274,-3.533152575910468,49.3683676161521
1634.305842723141,-3.243692981471457,47.61348392841636
1737.80082874938,-2.966860935885958,45.87618645235399
1847.849797422294,-2.704979757645846,44.09838726028845
1964.867789993472,-2.462659978077937,42.34886264133543
2089.296130854043,-2.2327625126431,40.5967340577162
2221.604091955816,-2.017770891604066,38.89964840756177
2362.290662634467,-1.825202845925085,37.19259365716114
2511.886431509585,-1.640311397799785,35.52215732529697
2670.955587558991,-1.473587100647688,33.89044039338776
2840.098047914219,-1.318880890122134,32.29571449049126
3019.951720402022,-1.178607016562645,30.74629833015564
3211.19490936483,-1.042189037937022,29.26858153129428
3414.548873833608,-0.9296344979680813,27.78702466628744
3630.780547701021,-0.8194752050681088,26.36321198592333
3860.705432153823,-0.7248583246561575,25.02337074002362
4105.190671273087,-0.6333304243186094,23.71473427279346
4365.158322401669,-0.5583337477187585,22.44975802061217
4641.588833612786,-0.4872666885597922,21.26082219347377
4935.524741394816,-0.4231427687565041,20.1118323742125
5248.074602497733,-0.3618027684558224,19.00708438732396
5580.417174769976,-0.3093354721966353,17.96573052372119
5933.805862753293,-0.2660914479420457,16.96025556382062
6309.573444801943,-0.2252855973712887,16.03439266234319
6709.137099554126,-0.1893625830529941,15.11647114415348
7134.003750712579,-0.1541707538880222,14.26673862588933
7585.775750291851,-0.1228113845093874,13.45493058283079
8066.156921766152,-0.09955794272002241,12.68667825148797
8576.958985908963,-0.07459643460365276,11.95638242362605
9120.108393559114,-0.05120305109876878,11.25864403067965
9697.653591082517,-0.03642321100386373,10.61575333506244
10311.77274593057,-0.02320410234297753,9.979087233470239
10964.78196143186,-0.002284360458797837,9.408971605847739
11659.14401179832,0.009013221327651593,8.862147770592316
12397.47763028945,0.0205416131361251,8.320077784906061
13182.56738556409,0.02933255985383167,7.8443210739905
14017.37418346771,0.04032579295242944,7.37503197768514
14905.04643386197,0.04941041090770334,6.938436528210815
15848.93192461116,0.05553653481336285,6.518846031265284
16852.59044750753,0.06436159277507292,6.141315687420345
17919.80722375336,0.06949978045283631,5.761952060403587
19054.6071796325,0.07447963384856271,5.41525855395944
20261.27012621145,0.07743611628290835,5.078589357031504
21544.34690031884,0.08341782298317965,4.773693133116982
22908.67652767777,0.08736425545653777,4.482894821964891
24359.40447292029,0.08857485508184795,4.208245089773129
25902.00204531325,0.09021554397108147,3.948432103517845
27542.28703338169,0.09219061580056696,3.706611110362928
29286.4456462524,0.1003324501635195,3.461664447037705
31141.05584446762,0.1059072333825449,3.244674539462352
33113.11214825914,0.1019328324464814,3.032434051281413
