Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000002,-6.258799997711321,69.80034538127683
1063.326571637164,-5.866272045721921,67.65859669433573
1130.663397949641,-5.45837193309889,65.52498281942739
1202.264434617416,-5.080888315056286,63.41809939543902
1278.399719463026,-4.707286113903471,61.39529162433165
1359.356390878528,-4.335549381030763,59.0529273855377
1445.439770745931,-4.008580205504505,57.05564306345073
1536.974515935274,-3.699608674365115,54.91074685752586
1634.305842723141,-3.422957856294888,52.9679290078416
1737.80082874938,-3.127085731882436,50.8766633060137
1847.849797422294,-2.850696503773507,48.67394456984186
1964.867789993472,-2.603477066554635,46.70821134972169
2089.296130854043,-2.356981665620875,44.68027263825844
2221.604091955816,-2.148062209225773,42.76515417573314
2362.290662634467,-1.933056279293571,40.66548931081587
2511.886431509585,-1.760424242439397,38.78530933577463
2670.955587558991,-1.578002690642015,36.95513145755004
2840.098047914219,-1.423625417645914,35.05448379235431
3019.951720402022,-1.270572479877777,33.58718549582924
3211.19490936483,-1.130295561047901,31.90693420662929
3414.548873833608,-1.036629248284957,30.11003243471665
3630.780547701021,-0.9072896248777045,28.52765198890754
3860.705432153823,-0.8325526058013673,27.12519221813614
4105.190671273087,-0.7517729764211716,25.71663463758242
4365.158322401669,-0.6400494428023812,24.23235016718996
4641.588833612786,-0.5754929698250606,22.9934010899567
4935.524741394816,-0.518924474134574,21.79730449464691
5248.074602497733,-0.4647350496438196,20.58635359990682
5580.417174769976,-0.3998898077587528,19.19457928546609
5933.805862753293,-0.3746448865872706,18.24746101775244
6309.573444801943,-0.31731819910745,17.21140241566615
6709.137099554126,-0.2859602634864595,16.28556401747977
7134.003750712579,-0.2353084506371349,15.37431335560682
7585.775750291851,-0.2173320728753848,14.45816039187474
8066.156921766152,-0.1590634644109274,13.58615488715921
8576.958985908963,-0.162837245474573,12.73751998869731
9120.108393559114,-0.1384760973547381,12.12618154355533
9697.653591082517,-0.1396966682768634,11.5393584988193
10311.77274593057,-0.1202281329640618,10.71398579219408
10964.78196143186,-0.09721562271861142,10.06078474301669
11659.14401179832,-0.09299763182383769,9.453984278877883
12397.47763028945,-0.06419284170615579,8.865423062754541
13182.56738556409,-0.05852137473591898,8.450468286948318
