Time (s),Channel 1 (V),Channel 2 (V)
0.00205700578125,0.008801500967011482,-0.01139906322554716
0.00205703078125,0.008801500967011482,-0.01219548148987695
0.00205705578125,0.003282740627354625,-0.009806226696891936
0.00205708078125,0.008801500967017935,-0.01458473628286196
0.00205710578125,0.01037828963549347,-0.009806226696883243
0.00205713078125,0.008801500967023672,-0.01378831801851624
0.00205715578125,0.007224712298480731,-0.009009808432586416
0.00205718078125,-0.005389597049323579,-0.021752500661863
0.00205720578125,0.003282740627243484,-0.01378831801861221
0.00205723078125,-0.003024414046617442,-0.02015966413321791
0.00205725578125,-0.0006592310439041335,-0.01856682760455834
0.00205728078125,-0.0006592310439044923,-0.01936324586891601
0.00205730578125,-0.001447625378146564,-0.02254891892622646
0.00205733078125,-0.003812808380859872,-0.02254891892622646
0.00205735578125,-0.003024414046631424,-0.02095608239757703
0.00205738078125,-0.003812808380869193,-0.02334533719055733
0.00205740578125,-0.004601202715106963,-0.02175250066189776
0.00205743078125,-0.004601202715109831,-0.02175250066190428
0.00205745578125,-0.004601202715106963,-0.02334533719056096
0.00205748078125,-0.003024414046631424,-0.02334533719056096
0.00205750578125,-0.005389597049363734,-0.02254891892623805
0.00205753078125,-0.006966385717831744,-0.02414175545489762
0.00205755578125,-0.003024414046642897,-0.0257345919835572
0.00205758078125,-0.006177991383600069,-0.02892026504087526
0.00205760578125,-0.006966385717836404,-0.0249381737192314
0.00205763078125,-0.006177991383598635,-0.02653101024789097
0.00205765578125,-0.007754780052079552,-0.02732742851223343
0.00205768078125,-0.007754780052079552,-0.02732742851223416
0.00205770578125,-0.007754780052079552,-0.02892026504089373
0.00205773078125,-0.0069663857178278,-0.02653101024789423
0.00205775578125,-0.005389597049352261,-0.02573459198356444
0.00205778078125,-0.0069663857178278,-0.02573459198356444
0.00205780578125,-0.007754780052088156,-0.02812384677655489
0.00205783078125,-0.009331568720563696,-0.02573459198356553
0.00205785578125,-0.003024414046665125,-0.02573459198356444
0.00205788078125,-0.003024414046648633,-0.02414175545491537
0.00205790578125,-0.00775478005207525,-0.0281238467765643
0.00205793078125,-0.004601202715131342,-0.02573459198358074
0.00205795578125,-0.002236019712371785,-0.02095608239754661
0.00205798078125,0.0001291632903415232,-0.01856682760455725
0.00205800578125,-0.001447625378127921,-0.01936324586888233
0.00205803078125,0.0009175576245774999,-0.01856682760455725
0.00205805578125,-0.001447625378135808,-0.01936324586888704
0.00205808078125,0.001705951958803797,-0.01697399107590456
0.00205810578125,0.000917557624604389,-0.0193632458688769
0.00205813078125,0.005647923630028855,-0.0161775728115592
0.00205815578125,0.006436317964233999,-0.013788318018576
0.00205818078125,0.0009175576245957844,-0.01697399107588066
0.00205820578125,0.004071134961546862,-0.01538115454722108
0.00205823078125,0.002494346293086381,-0.01777040934019777
0.00205825578125,-0.01011996305480146,-0.02493817371922814
0.00205828078125,-0.007754780052088156,-0.02414175545489835
0.00205830578125,-0.006177991383600786,-0.02414175545490777
0.00205833078125,-0.006966385717842858,-0.02573459198357023
0.00205835578125,-0.01011996305479394,-0.02892026504088938
0.00205838078125,-0.009331568720575886,-0.0289202650409256
0.00205840578125,-0.01090835738904927,-0.03210593809823822
0.00205843078125,-0.01090835738904927,-0.03051310156957865
0.00205845578125,-0.00854317438632736,-0.02892026504091871
0.00205848078125,-0.009331568720564412,-0.03130951983390373
0.00205850578125,-0.009331568720564412,-0.02892026504091437
0.00205853078125,-0.01011996305480684,-0.03051310156956634
0.00205855578125,-0.01011996305480828,-0.02971668330523836
0.00205858078125,-0.01327354039175935,-0.03290235636255751
0.00205860578125,-0.006177991383622656,-0.02812384677657263
0.00205863078125,-0.01090835738904927,-0.02892026504090242
0.00205865578125,-0.008543174386335964,-0.03369877462688114
0.00205868078125,-0.01011996305483696,-0.02653101024794674
0.00205870578125,-0.01563872339450134,-0.03529161115557439
0.00205873078125,-0.006966385717892334,-0.02334533719063701
0.00205875578125,-0.0109083573890335,-0.02892026504089047
0.00205878078125,-0.00775478005208242,-0.02653101024790111
0.00205880578125,-0.006966385717842499,-0.027327428512228
0.00205883078125,-0.007754780052072381,-0.02732742851223705
0.00205885578125,-0.006177991383596843,-0.02812384677656684
0.00205888078125,-0.006177991383594691,-0.02653101024791052
0.00205890578125,-0.003024414046641104,-0.02653101024789242
0.00205893078125,-0.006966385717829951,-0.02493817371923284
0.00205895578125,-0.009331568720546128,-0.02653101024788662
0.00205898078125,-0.003812808380861665,-0.02493817371920967
0.00205900578125,-0.002236019712386126,-0.01936324586890116
0.00205903078125,0.003282740627269297,-0.02095608239754444
0.00205905578125,-0.0006592310438901514,-0.02015966413321791
0.00205908078125,0.001705951958823157,-0.01856682760455834
0.00205910578125,0.00170595195882961,-0.01777040934022638
0.00205913078125,0.004071134961546145,-0.01697399107588066
0.00205915578125,0.0001291632903572979,-0.01538115454722108
0.00205918078125,0.00091755762458718,-0.01697399107589152
0.00205920578125,0.0009175576245835947,-0.01777040934022312
0.00205923078125,-0.000659231043891944,-0.01936324586888269
0.00205925578125,0.002494346293035471,-0.01299189975424947
0.00205928078125,-0.002236019712395447,-0.01777040934023543
0.00205930578125,-0.009331568720535373,-0.02653101024786308
0.00205933078125,-0.006966385717825649,-0.02653101024787576
0.00205935578125,-0.005389597049354412,-0.0233453371905653
0.00205938078125,-0.006966385717829951,-0.02653101024788445
0.00205940578125,-0.005389597049384528,-0.02573459198355901
0.00205943078125,-0.01011996305480756,-0.02493817371923357
0.00205945578125,-0.01090835738904533,-0.0289202650408825
0.00205948078125,-0.008543174386347078,-0.02732742851224357
0.00205950578125,-0.01248514605753485,-0.02892026504090387
0.00205953078125,-0.01406193472601039,-0.03210593809822301
0.00205955578125,-0.01327354039178588,-0.03130951983390119
0.00205958078125,-0.01485032906026142,-0.0305131015695714
0.00205960578125,-0.01248514605754811,-0.02971668330524162
0.00205963078125,-0.01327354039177656,-0.02732742851226385
