Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1000.000000000002,-6.199004540695993,69.93973094622562
1063.326571637164,-5.826598722146735,67.7273180399266
1130.663397949641,-5.433390813109459,65.7699544584184
1202.264434617416,-5.04172945046904,63.57745056004353
1278.399719463026,-4.662405430185141,61.60560660075073
1359.356390878528,-4.336358712946402,59.34184623515443
1445.439770745931,-4.014861525082447,57.22421087376426
1536.974515935274,-3.651091135621929,55.32454603643029
1634.305842723141,-3.401327047354466,53.33641694029561
1737.80082874938,-3.08771220683743,50.9743908209561
1847.849797422294,-2.789265927789291,49.04548648518031
1964.867789993472,-2.560161928235654,47.06242765953187
2089.296130854043,-2.327845875234642,44.94595541431773
2221.604091955816,-2.09176183713502,42.94041789647088
2362.290662634467,-1.90841115650145,41.05583260293893
2511.886431509585,-1.712345168000532,39.17243212233021
2670.955587558991,-1.563775926596283,37.05748105596308
2840.098047914219,-1.393009560373567,35.53663785353814
3019.951720402022,-1.260331861635737,33.6358653262343
3211.19490936483,-1.117573621862204,32.04653888138463
3414.548873833608,-0.9728428775727302,30.4218751450091
3630.780547701021,-0.8703222105228735,28.75307595628249
3860.705432153823,-0.7722803327159701,27.30135001236058
4105.190671273087,-0.6872821019626751,25.85271004442227
4365.158322401669,-0.6145737780696839,24.19563288989099
4641.588833612786,-0.5176826030162732,23.0985381814607
4935.524741394816,-0.4847112816211983,21.87093724962148
5248.074602497733,-0.3829266427193916,20.6145782935528
5580.417174769976,-0.3572664017641648,19.47676040229921
5933.805862753293,-0.3210935155053166,18.40386852652989
6309.573444801943,-0.2522177618970103,17.2671677711449
6709.137099554126,-0.2118114002279871,16.3839416667337
7134.003750712579,-0.1824194347316002,15.46735549554626
7585.775750291851,-0.1545022724570729,14.4677333694835
8066.156921766152,-0.1455201786191779,13.72199550735016
8576.958985908963,-0.07614886606137775,12.88467424492977
9120.108393559114,-0.07882040813390043,12.17175808716006
9697.653591082517,-0.04282790148354447,11.42718780696362
10311.77274593057,-0.05269610774890857,10.7994693891435
10964.78196143186,-0.0241996084071265,10.13042794880847
11659.14401179832,-0.001635566967210806,9.562018331216144
12397.47763028945,-0.01986723432180381,9.0309943515784
13182.56738556409,0.007995527963765979,8.441621355268097
14017.37418346771,0.008217936807053471,7.993967653836933
14905.04643386197,0.03492658834234794,7.506317123550421
15848.93192461116,0.02711863507019624,6.98181973813027
16852.59044750753,0.04687769003163055,6.698901939420562
17919.80722375336,0.0280198474033048,6.250655064439798
19054.6071796325,0.03893921964557145,5.971291101663589
20261.27012621145,0.05049463426011173,5.522568650595622
21544.34690031884,0.04116760590893422,5.096530538996234
22908.67652767777,0.03552207970784568,4.845179792739955
24359.40447292029,0.04659101068180165,4.514856029571988
25902.00204531325,0.07281374138594282,4.220206957451083
27542.28703338169,0.06522556559012242,3.958247307568328
29286.4456462524,0.0701825016343126,3.831379410529919
31141.05584446762,0.07008146881172134,3.52698288898743
33113.11214825914,0.07277667530950754,3.356080494369614
35210.05201684524,0.06622979446174694,3.183931305658405
37439.78389823814,0.08120755069195977,2.904470158211339
39810.71705534978,0.08039235058886636,2.76347474939854
42331.79328088216,0.08108755302865796,2.469536783243782
45012.52062061341,0.09329837269368005,2.388588569889833
47863.00923226385,0.08246379926140526,2.159544011131231
50894.00951518099,0.06985022936251879,2.09933888897892
54116.95265464643,0.07134852246606817,1.839592213210574
57543.99373371572,0.09122216759728966,1.700058959666598
61188.05757518225,0.08817354377870111,1.579692851069392
65062.8874865558,0.0879512529323217,1.562113673742473
69183.09709189369,0.09596015267612731,1.387412445985973
73564.22544596421,0.08618993791376305,1.254819691459936
78222.79563860038,0.07800774700045952,1.127058897587759
83176.37711026717,0.09032894808255326,1.132355665135051
88443.65191386007,0.07938842380402698,0.9316794893793556
94044.48517263534,0.09018061943526831,0.8743997939030095
100000.0000000001,0.1051427756801272,0.8221352031658
106332.6571637163,0.1015964957460497,0.7216198971879351
113066.339794964,0.07382051844283037,0.6547585424621758
120226.4434617414,0.08527435017528173,0.4902600531589201
127839.9719463024,0.09945299357754962,0.534795275787431
135935.6390878527,0.08531882249271669,0.3491838690090674
144543.977074593,0.09560328008151833,0.3384855625535295
153697.4515935273,0.09648123327180683,0.2107725359651482
163430.5842723139,0.09912627922186627,0.05789184265574931
173780.0828749378,0.08334062920122719,-0.02599812557278902
184784.9797422292,0.09092842525770406,-0.04983879784548506
196486.778999347,0.09859432566089439,0.1003849889017374
208929.6130854041,0.124885334074792,-0.1416405248686488
222160.4091955814,0.09105036872888538,-0.2612133507930774
236229.0662634465,0.09173890628502435,-0.2935574039804649
251188.6431509582,0.08439201306484677,-0.37393014203397
267095.5587558988,0.09084293561624991,-0.5137820515357632
284009.8047914217,0.07351812473078587,-0.6868803325941713
301995.1720402019,0.06087862672447933,-0.7357320991719654
321119.4909364826,0.07876609361685458,-0.6327828948765486
341454.8873833602,0.1026732610556809,-0.8871035724345546
363078.0547701016,0.07970787790411121,-0.8927650735893415
386070.5432153813,0.1153826941993865,-1.060038405765425
410519.0671273081,0.08593862866695114,-1.118488422845871
