time	I(Rref1)	Id(M4)
0.000000000000000e+000	8.507789e-003	8.507767e-003
7.142857099446638e-010	8.507789e-003	8.507767e-003
1.428571419889328e-009	8.507789e-003	8.507767e-003
2.142857129833992e-009	8.507789e-003	8.507767e-003
2.857142839778655e-009	8.507789e-003	8.507767e-003
3.571428549723319e-009	8.507789e-003	8.507767e-003
4.285714259667983e-009	8.507789e-003	8.507767e-003
4.999999969612645e-009	8.507789e-003	8.507767e-003
3.999999975690116e-008	8.507789e-003	8.507767e-003
7.751785701088923e-007	8.507789e-003	8.507767e-003
1.510357140460884e-006	8.507789e-003	8.507767e-003
2.245535710812875e-006	8.507789e-003	8.507767e-003
2.980714281164866e-006	8.507789e-003	8.507767e-003
3.715892851516857e-006	8.507789e-003	8.507767e-003
4.451071421868848e-006	8.507789e-003	8.507767e-003
5.186249992220837e-006	8.507789e-003	8.507767e-003
7.139374992220837e-006	8.507789e-003	8.507767e-003
9.092499992220837e-006	8.507789e-003	8.507767e-003
1.104562499222084e-005	8.507789e-003	8.507767e-003
1.299874999222084e-005	8.507789e-003	8.507767e-003
1.495187499222084e-005	8.507789e-003	8.507767e-003
1.690499999222084e-005	8.507789e-003	8.507767e-003
1.885812499222085e-005	8.507789e-003	8.507767e-003
2.081124999222085e-005	8.507789e-003	8.507767e-003
2.276437499222085e-005	8.507789e-003	8.507767e-003
2.471749999222085e-005	8.507789e-003	8.507767e-003
2.667062499222085e-005	8.507789e-003	8.507767e-003
2.862374999222086e-005	8.507789e-003	8.507767e-003
3.057687499222086e-005	8.507789e-003	8.507767e-003
3.252999999222086e-005	8.507789e-003	8.507767e-003
3.448312499222086e-005	8.507789e-003	8.507767e-003
3.643624999222086e-005	8.507789e-003	8.507767e-003
3.838937499222086e-005	8.507789e-003	8.507767e-003
4.034249999222087e-005	8.507789e-003	8.507767e-003
4.229562499222087e-005	8.507789e-003	8.507767e-003
4.424874999222087e-005	8.507789e-003	8.507767e-003
4.522531249222087e-005	8.507789e-003	8.507767e-003
4.620187499222087e-005	8.507789e-003	8.507767e-003
4.689941963507802e-005	8.507789e-003	8.507767e-003
4.759696427793516e-005	8.507789e-003	8.507767e-003
4.829450892079230e-005	8.507789e-003	8.507767e-003
4.899205356364945e-005	8.507789e-003	8.507767e-003
4.968959820650659e-005	8.507789e-003	8.507767e-003
5.038714284936373e-005	8.507789e-003	8.507767e-003
5.108468749222088e-005	8.507789e-003	8.507767e-003
5.303781249222088e-005	8.507789e-003	8.507767e-003
5.499093749222088e-005	8.507789e-003	8.507767e-003
5.694406249222088e-005	8.507789e-003	8.507767e-003
5.889718749222088e-005	8.507789e-003	8.507767e-003
6.085031249222088e-005	8.507789e-003	8.507767e-003
6.280343749222088e-005	8.507789e-003	8.507767e-003
6.475656249222088e-005	8.507789e-003	8.507767e-003
6.670968749222088e-005	8.507789e-003	8.507767e-003
6.866281249222088e-005	8.507789e-003	8.507767e-003
7.061593749222089e-005	8.507789e-003	8.507767e-003
7.256906249222089e-005	8.507789e-003	8.507767e-003
7.452218749222089e-005	8.507789e-003	8.507767e-003
7.647531249222089e-005	8.507789e-003	8.507767e-003
7.842843749222089e-005	8.507789e-003	8.507767e-003
